,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
0,1,NCT05003960,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Autism,,Recruiting,No Results Available,Autism,Biological: AlloRx,Safety (adverse events)|Efficacy: Autism Treatment Evaluation Checklist (ATEC),The Foundation for Orthopaedics and Regenerative Medicine,All,"Child, Adult, Older Adult",Phase 1,15.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SC-8-ATG-8-02,2021-09-01,2025-09-01,2025-09-01,2021-08-13,,2021-08-13,"Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,https://ClinicalTrials.gov/show/NCT05003960
1,2,NCT02649959,An Open Label Study of CM-AT for the Treatment of Children With Autism,,"Active, not recruiting",No Results Available,Autism,Drug: CM-AT,Aberrant Behavioral Checklist: Subscale of Irritability / Agitation (ABC-I) at fecal chymotrypsin (FCT) levels less than or equal to 12.6|Aberrant Behavior Checklist: Subscale of Lethargy / Social Withdrawal (ABC-L) at fecal chymotrypsin (FCT) levels less than or equal to 12.6,Curemark,All,3 Years to 17 Years   (Child),Phase 3,405.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,00104/Open Label-Autism,2015-10-01,2021-12-01,2022-06-01,2016-01-08,,2021-01-26,"Southwest Autism Research & Resource Center (S.A.R.R.C.), Phoenix, Arizona, United States|University of Arizona, Pediatrics Multidisciplinary Research Unit, Tucson, Arizona, United States|Arkansas Children'S Hosp. Research Institute (A.C.H.R.I.), Little Rock, Arkansas, United States|N.R.C. Research Institute, Orange, California, United States|M.I.N.D. Institute (Univ.of California, Davis), Sacramento, California, United States|University of California (U.C.S.F.), San Francisco, California, United States|IMMUNOe Research Centers, Centennial, Colorado, United States|Yale Child Study Center, New Haven, Connecticut, United States|Segal Institute For Clinical Research, North Miami, Florida, United States|Advent Health -Lake Mary Pediatrics, Orange City, Florida, United States|A.P.G. Research, Orlando, Florida, United States|Research Institute of Deaconess Clinic, Newburgh, Indiana, United States|Lake Charles Clinical Trials, Lake Charles, Louisiana, United States|L.S.U. Health Sciences Center, Shreveport, Louisiana, United States|Detroit Clinical Research Center, P.C., Bingham Farms, Michigan, United States|Children'S Specialized Hospital, Egg Harbor Township, New Jersey, United States|Barbara Enright, Toms River, New Jersey, United States|Clinical Research Center of Nj, Voorhees, New Jersey, United States|Lovelace Scientific Resources, Albuquerque, New Mexico, United States|Montefiore Med.Cneter, Autism & Obsessive Compulsive Spectrum Program, Bronx, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Duke Center For Autism and Brain Development, Durham, North Carolina, United States|Cleveland Clinic Autism Center, Cleveland, Ohio, United States|Omega Medical Research, Warwick, Rhode Island, United States|Carolina Clinical Trials, Inc., Charleston, South Carolina, United States|Vanderbilt Universtiy Med.Center-Treatment&Research Inst. For Asd, Nashville, Tennessee, United States|University of Texas, Houston-Behavioral & Biomedical Sciences, Houston, Texas, United States|Focus Center of Clinical Research, Clinton, Utah, United States|University of Virginia, Dept. of Psychiatry and Neurobehavioral Sciences, Charlottesville, Virginia, United States|Neuroscience, Inc, Herndon, Virginia, United States|Carilion Clinic-Virginia Tech, Carilion School of Medicine, Roanoke, Virginia, United States",,https://ClinicalTrials.gov/show/NCT02649959
2,3,NCT02410902,A Trial of CM-AT in Children With Autism With All Levels of FCT (The Blum Study),,Completed,No Results Available,Autism,Drug: CM-AT|Drug: PLACEBO,Primary outcome measurements to determine efficacy of treatment with CM-AT versus placebo for changes in the Aberrant Behavior Checklist subscale for Irritability / Agitation (ABC-I) between baseline and Week 12/Termination visit|Secondary Outcome measurements of changes in the Aberrant Behavior Checklist Checklist subscale for Lethargy / Social Withdrawal (ABC-L) between baseline and Week 12/Termination visit,Curemark,All,3 Years to 8 Years   (Child),Phase 3,335.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",00103,2015-05-01,2017-12-22,2017-12-22,2015-04-08,,2021-04-30,"Southwest Autism Research & Resource Center (S.A.R.R.C.), Phoenix, Arizona, United States|University of Arizona, Pediatrics Multidisciplinary Research Unit, Tucson, Arizona, United States|Arkansas Children'S Hosp. Research Institute (A.C.H.R.I.), Little Rock, Arkansas, United States|N.R.C. Research Institute, Orange, California, United States|M.I.N.D. Institute (Univ.of California, Davis), Sacramento, California, United States|University of California (U.C.S.F.), San Francisco, California, United States|IMMUNOe RESEARCH CENTERS, Centennial, Colorado, United States|Yale Child Study Center, New Haven, Connecticut, United States|Segal Institute For Clinical Research, North Miami, Florida, United States|Florida Hospital Medical Group-Lake Mary Pediatrics, Orange City, Florida, United States|Kaley Kildahl, Orlando, Florida, United States|Research Institute of Deaconess Clinic, Evansville, Indiana, United States|Lake Charles Clinical Trials, Lake Charles, Louisiana, United States|L.S.U. Health Sciences Center, Shreveport, Louisiana, United States|Detroit Clinical Research Center, P.C., Bingham Farms, Michigan, United States|Children'S Specialized Hospital, Egg Harbor Township, New Jersey, United States|Children'S Specialized Hospital, Toms River, New Jersey, United States|Clinical Research Center of Nj, Voorhees, New Jersey, United States|Lovelace Scientific Resources, Albuquerque, New Mexico, United States|Montefiore Med.Center, Autism & Obsessive Compulsive Spectrum Prog., Bronx, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Duke Center For Autism and Brain Development, Durham, North Carolina, United States|Cleveland Clinic, Center For Autism Research, Cleveland, Ohio, United States|Omega Medical Research, Warwick, Rhode Island, United States|Carolina Clinical Trials, Inc., Charleston, South Carolina, United States|Vanderbilt University Med.Center -Treatment & Research Inst. For Asd, Nashville, Tennessee, United States|University of Texas, Houston Dept. of Psychiatry and Behavioral Sciences, Houston, Texas, United States|Ericksen Research & Development, Clinton, Utah, United States|University of Virginia, Dept. of Psychiatry and Neurobehavioral Sciences, Charlottesville, Virginia, United States|Neuroscience, Inc., Herndon, Virginia, United States|Carilion Clinic-Virginia Tech, Carilion School of Medicine, Roanoke, Virginia, United States",,https://ClinicalTrials.gov/show/NCT02410902
7,8,NCT01098383,Treatment With Acetyl-Choline Esterase Inhibitors in Children With Autism Spectrum Disorders,,Unknown status,No Results Available,Autism,"Drug: Acetyl-Choline Esterase Inhibitors and Choline supplements|Drug: Indistinguishable placebo tablets, matching both donepezil and choline",Core autistic symptoms (ATEC)|Side effects and adverse events questionnaire|Linguistic performance (CELF-4)|Adaptive functioning (Vineland-II)|Comorbid behaviors (CSI-4 questionnaire)|Executive functions (BRIEF questionnaire),Sheba Medical Center|The Israeli Society of Clinical Pediatrics (HIPAK),All,"10 Years to 18 Years   (Child, Adult)",Phase 4,84.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",SHEBA-09-7151-LG-CTIL,2010-03-01,2017-12-01,2017-12-01,2010-04-02,,2016-10-14,"Sheba Medical Center, Tel Hashomer, Ramat Gan, Israel",,https://ClinicalTrials.gov/show/NCT01098383
8,9,NCT01836562,A Clinical Trial to Study the Safety and Efficacy of Bone Marrow Derived Autologous Cells for the Treatment of Autism,BMCA,Unknown status,No Results Available,Autism,Biological: STEM CELL THERAPY,Improvement in childhood autism rating scale|Improvement in perfusion of brain with PET scan report,"Chaitanya Hospital, Pune",All,"3 Years to 70 Years   (Child, Adult, Older Adult)",Phase 1|Phase 2,100.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,00105,2014-09-01,2016-06-01,2016-06-01,2013-04-22,,2014-09-17,"Chaitanya Hospital, Pune, Maharashtra, India",,https://ClinicalTrials.gov/show/NCT01836562
10,11,NCT00881452,A Trial of CM-AT in Children With Autism,CM-AT,Completed,No Results Available,Autism,Drug: CM-AT|Drug: Placebo,Evidence of changes in behavior scales associated with the core symptoms of autism|Other key measures of behavior and quality of life associated with autism,Curemark,All,3 Years to 8 Years   (Child),Phase 3,182.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",00101,2009-05-01,2011-06-01,2011-09-01,2009-04-15,,2018-04-19,"Southwest Autism Research and Resource Center, Phoenix, Arizona, United States|University of California, Davis, M.I.N.D. Institute, Sacramento, California, United States|University of California, San Francisco, San Francisco, California, United States|Neuropsychiatric Research Center of Orange County, Santa Ana, California, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Institute for Behavioral Medicine, Smyrna, Georgia, United States|Alexian Brothers Center for Psychiatric Research, Hoffman Estates, Illinois, United States|Louisiana State University Health Science Center, Shreveport, Louisiana, United States|Saint Peters University Hospital, New Brunswick, New Jersey, United States|Mount Sinai School of Medicine, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|Oklahoma University Child Study Center, Oklahoma City, Oklahoma, United States|Cyn3rgy Research, Gresham, Oregon, United States|Hershey Medical Center, Hershey, Pennsylvania, United States|Drexel University, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Texas, Houston, Houston, Texas, United States|Westside Medical, Clinton, Utah, United States",,https://ClinicalTrials.gov/show/NCT00881452
11,12,NCT00912691,A Trial of CM-AT in Children With Autism- Open Label Extension Study,CM-AT,Completed,No Results Available,Autism,Drug: CM-AT,Evidence of changes in behavior scales associated with the core symptoms of autism|Other key measures of behavior and quality of life associated with autism,Curemark,All,9 Years to 12 Years   (Child),Phase 3,165.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,00102/Autism,2010-01-01,2016-02-01,2016-02-01,2009-06-03,,2019-03-01,"Southwest Autism Research and Resource Center, Phoenix, Arizona, United States|University of California, Davis, M.I.N.D. Institute, Sacramento, California, United States|University of California, San Francisco, San Francisco, California, United States|Neuropsychiatric Research Center of Orange County, Santa Ana, California, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Institute for Behavioral Medicine, Smyrna, Georgia, United States|Alexian Brothers Center for Psychiatric Research, Hoffman Estates, Illinois, United States|Louisiana State University, Shreveport, Louisiana, United States|Saint Peter's University Hospital, New Brunswick, New Jersey, United States|Mount Sinai School of Medicine, Manhattan, New York, United States|University of North Carolina, Chapel Hill, Chapel Hill, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|Oklahoma State University, Child Study Center, Oklahoma City, Oklahoma, United States|Cyn3rgy Research Center, Gresham, Oregon, United States|Hershey Medical Center, Hershey, Pennsylvania, United States|Drexel University, Philadelphia, Pennsylvania, United States|Universtiy of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Texas, Houston, Houston, Texas, United States|Ericksen Research & Development, Clinton, Utah, United States",,https://ClinicalTrials.gov/show/NCT00912691
12,13,NCT03786744,Allogenic Cord Blood Transfusion in Patients With Autism,,Completed,Has Results,Autism Spectrum Disorder|Autism,Biological: ASD CB-MNC injection.|Other: Standard therapy.,A Number of Participants With Non-serious and Serious Adverse Events 24 Hrs Post-transfusion|Autism Treatment Evaluation Checklist (ATEC).|Cytokine Analysis.|Immune Status as Determined by Percentage of Peripheral Blood Cells|Immune Status as Determined by Absolute Cell Count of Peripheral Blood Cells,"State-Financed Health Facility ""Samara Regional Medical Center Dinasty""",All,3 Years to 15 Years   (Child),Phase 1|Phase 2,20.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,12112018,2018-10-12,2019-10-12,2019-12-12,2018-12-26,2020-11-19,2020-11-19,"Medical Centre Dinasty, Samara, Russian Federation","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03786744/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03786744
17,18,NCT01911442,Lurasidone Pediatric Autism Study,,Completed,Has Results,Autism,Drug: Lurasidone 20 mg daily|Drug: Lurasidone|Drug: Placebo,Change in Aberrant Behavior Checklist (ABC) Irritability Subscale Score at Week 6|Change From Baseline in Clinical Global Impression-Severity (CGI-S) at Week 6|Change From Baseline in Aberrant Behavior Checklist (ABC) Hyperactivity Subscale Score at Week 6|Change From Baseline in Children's Yale-Brown Obsessive Compulsive Scales (CY-BOCS) Modified for Pervasive Developmental Disorders (PDDs)|Change From Baseline in the Caregiver Strain Questionnaire (CGSQ)|Proportion of Subjects Who Have CGI-I Score of 1 (Very Much Improved) or 2 (Much Improved) at Week 6|Proportion of Subjects Who Have at Least 25% Reduction From Baseline to Week 6 in the ABC Irritability Subscale Score.,Sunovion,All,6 Years to 17 Years   (Child),Phase 3,150.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",D1050325,2013-08-01,2014-11-01,2014-11-01,2013-07-30,2016-02-25,2016-02-25,"Harmonex Neuroscience Research, Dothan, Alabama, United States|Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|Newport Beach Clinical Research Associates, Newport Beach, California, United States|University of California San Francisco Medical Center, San Francisco, California, United States|Florida Clinical Research Center, LLC, Bradenton, Florida, United States|Sarkis Clinical Trials - Parent, Gainesville, Florida, United States|Palm Springs Research Institute Inc, Hialeah, Florida, United States|Florida Clinical Research Center, LLC, Maitland, Florida, United States|Clinical Neuroscience Solutions, Inc., Orlando, Florida, United States|University of South Florida, Saint Petersburg, Florida, United States|Medical Research Group of Central Florida, Sanford, Florida, United States|University of South Florida, Tampa, Florida, United States|Institute for Behavioral Medicine, LLC, Smyrna, Georgia, United States|Capstone Clinical Research, Inc., Libertyville, Illinois, United States|Baber Research Group, Naperville, Illinois, United States|University of Kentucky, Lexington, Kentucky, United States|Lake Charles Clinical Trials, LLC, Lake Charles, Louisiana, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|NeuroScientific Insights, Rockville, Maryland, United States|Neurobehaviorial Medicine Group, PLLC, Bloomfield Hills, Michigan, United States|Center for Psychiatry and Behavioral Medicine, Inc., Las Vegas, Nevada, United States|Jersey Shore University Medical Center, Neptune, New Jersey, United States|Childrens Specialized Hospital, Toms River, New Jersey, United States|Montefiore Medical Center PRIME, Bronx, New York, United States|Finger Lakes Clinical Research, Rochester, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Chapel Hill Neurology, Chapel Hill, North Carolina, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|The Ohio State University Nisonger Center, Columbus, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|Cyn3rgy Research & Development, Gresham, Oregon, United States|Suburban Research Associates, Media, Pennsylvania, United States|Segal Institute for Clinical Research, Charleston, South Carolina, United States|Clinical Neuroscience Solutions, Inc., Memphis, Tennessee, United States|Family Psychiatry of The Woodlands, P.A., The Woodlands, Texas, United States|Ericksen Research & Development, LLC, Clinton, Utah, United States|CRI Lifetree, Salt Lake City, Utah, United States|University of Virginia, Charlottesville, Virginia, United States|Neuroscience, Inc., Herndon, Virginia, United States|Carilion Clinic, Roanake, Virginia, United States|Pacific Institute of Medical Sciences, Bothell, Washington, United States",,https://ClinicalTrials.gov/show/NCT01911442
23,24,NCT04766177,Role of Bumetanide in Treatment of Autism,,Recruiting,No Results Available,Autism,Drug: Bumetanide|Drug: Placebo,Number of patients with improved CARS score,Sherief Abd-Elsalam|Tanta University,All,3 Years to 12 Years   (Child),Phase 3,80.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",autism,2021-01-01,2030-12-01,2030-12-01,2021-02-23,,2021-02-23,"Sherief Abd-Elsalam, Tanta, Egypt",,https://ClinicalTrials.gov/show/NCT04766177
