"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT05003960","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Autism",,"Recruiting","No Results Available","Autism","Biological: AlloRx","Safety (adverse events)|Efficacy: Autism Treatment Evaluation Checklist (ATEC)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SC-8-ATG-8-02","September 2021","September 2025","September 2025","August 13, 2021",,"August 13, 2021","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05003960"
2,"NCT02649959","An Open Label Study of CM-AT for the Treatment of Children With Autism",,"Active, not recruiting","No Results Available","Autism","Drug: CM-AT","Aberrant Behavioral Checklist: Subscale of Irritability / Agitation (ABC-I) at fecal chymotrypsin (FCT) levels less than or equal to 12.6|Aberrant Behavior Checklist: Subscale of Lethargy / Social Withdrawal (ABC-L) at fecal chymotrypsin (FCT) levels less than or equal to 12.6","Curemark","All","3 Years to 17 Years   (Child)","Phase 3","405","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","00104/Open Label-Autism","October 2015","December 2021","June 2022","January 8, 2016",,"January 26, 2021","Southwest Autism Research & Resource Center (S.A.R.R.C.), Phoenix, Arizona, United States|University of Arizona, Pediatrics Multidisciplinary Research Unit, Tucson, Arizona, United States|Arkansas Children'S Hosp. Research Institute (A.C.H.R.I.), Little Rock, Arkansas, United States|N.R.C. Research Institute, Orange, California, United States|M.I.N.D. Institute (Univ.of California, Davis), Sacramento, California, United States|University of California (U.C.S.F.), San Francisco, California, United States|IMMUNOe Research Centers, Centennial, Colorado, United States|Yale Child Study Center, New Haven, Connecticut, United States|Segal Institute For Clinical Research, North Miami, Florida, United States|Advent Health -Lake Mary Pediatrics, Orange City, Florida, United States|A.P.G. Research, Orlando, Florida, United States|Research Institute of Deaconess Clinic, Newburgh, Indiana, United States|Lake Charles Clinical Trials, Lake Charles, Louisiana, United States|L.S.U. Health Sciences Center, Shreveport, Louisiana, United States|Detroit Clinical Research Center, P.C., Bingham Farms, Michigan, United States|Children'S Specialized Hospital, Egg Harbor Township, New Jersey, United States|Barbara Enright, Toms River, New Jersey, United States|Clinical Research Center of Nj, Voorhees, New Jersey, United States|Lovelace Scientific Resources, Albuquerque, New Mexico, United States|Montefiore Med.Cneter, Autism & Obsessive Compulsive Spectrum Program, Bronx, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Duke Center For Autism and Brain Development, Durham, North Carolina, United States|Cleveland Clinic Autism Center, Cleveland, Ohio, United States|Omega Medical Research, Warwick, Rhode Island, United States|Carolina Clinical Trials, Inc., Charleston, South Carolina, United States|Vanderbilt Universtiy Med.Center-Treatment&Research Inst. For Asd, Nashville, Tennessee, United States|University of Texas, Houston-Behavioral & Biomedical Sciences, Houston, Texas, United States|Focus Center of Clinical Research, Clinton, Utah, United States|University of Virginia, Dept. of Psychiatry and Neurobehavioral Sciences, Charlottesville, Virginia, United States|Neuroscience, Inc, Herndon, Virginia, United States|Carilion Clinic-Virginia Tech, Carilion School of Medicine, Roanoke, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT02649959"
3,"NCT02410902","A Trial of CM-AT in Children With Autism With All Levels of FCT (The Blum Study)",,"Completed","No Results Available","Autism","Drug: CM-AT|Drug: PLACEBO","Primary outcome measurements to determine efficacy of treatment with CM-AT versus placebo for changes in the Aberrant Behavior Checklist subscale for Irritability / Agitation (ABC-I) between baseline and Week 12/Termination visit|Secondary Outcome measurements of changes in the Aberrant Behavior Checklist Checklist subscale for Lethargy / Social Withdrawal (ABC-L) between baseline and Week 12/Termination visit","Curemark","All","3 Years to 8 Years   (Child)","Phase 3","335","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","00103","May 2015","December 22, 2017","December 22, 2017","April 8, 2015",,"April 30, 2021","Southwest Autism Research & Resource Center (S.A.R.R.C.), Phoenix, Arizona, United States|University of Arizona, Pediatrics Multidisciplinary Research Unit, Tucson, Arizona, United States|Arkansas Children'S Hosp. Research Institute (A.C.H.R.I.), Little Rock, Arkansas, United States|N.R.C. Research Institute, Orange, California, United States|M.I.N.D. Institute (Univ.of California, Davis), Sacramento, California, United States|University of California (U.C.S.F.), San Francisco, California, United States|IMMUNOe RESEARCH CENTERS, Centennial, Colorado, United States|Yale Child Study Center, New Haven, Connecticut, United States|Segal Institute For Clinical Research, North Miami, Florida, United States|Florida Hospital Medical Group-Lake Mary Pediatrics, Orange City, Florida, United States|Kaley Kildahl, Orlando, Florida, United States|Research Institute of Deaconess Clinic, Evansville, Indiana, United States|Lake Charles Clinical Trials, Lake Charles, Louisiana, United States|L.S.U. Health Sciences Center, Shreveport, Louisiana, United States|Detroit Clinical Research Center, P.C., Bingham Farms, Michigan, United States|Children'S Specialized Hospital, Egg Harbor Township, New Jersey, United States|Children'S Specialized Hospital, Toms River, New Jersey, United States|Clinical Research Center of Nj, Voorhees, New Jersey, United States|Lovelace Scientific Resources, Albuquerque, New Mexico, United States|Montefiore Med.Center, Autism & Obsessive Compulsive Spectrum Prog., Bronx, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Duke Center For Autism and Brain Development, Durham, North Carolina, United States|Cleveland Clinic, Center For Autism Research, Cleveland, Ohio, United States|Omega Medical Research, Warwick, Rhode Island, United States|Carolina Clinical Trials, Inc., Charleston, South Carolina, United States|Vanderbilt University Med.Center -Treatment & Research Inst. For Asd, Nashville, Tennessee, United States|University of Texas, Houston Dept. of Psychiatry and Behavioral Sciences, Houston, Texas, United States|Ericksen Research & Development, Clinton, Utah, United States|University of Virginia, Dept. of Psychiatry and Neurobehavioral Sciences, Charlottesville, Virginia, United States|Neuroscience, Inc., Herndon, Virginia, United States|Carilion Clinic-Virginia Tech, Carilion School of Medicine, Roanoke, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT02410902"
4,"NCT02998684","Learning Enhancement Through Neurostimulation in Autism","LENS","Completed","Has Results","Autism","Device: Active Transcranial Direct Current Stimulation|Device: Sham Transcranial Direct Current Stimulation|Behavioral: PEERS Social Skills Training","Test of Adolescent Social Skills Knowledge (TASSK)|Social Responsiveness Scale (SRS)","Medical University of South Carolina|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","14 Years to 17 Years   (Child)","Not Applicable","25","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","Pro00056912","July 2016","July 2017","July 2017","December 20, 2016","September 4, 2018","September 4, 2018","Medical Univeristy of South Carolina, Charleston, South Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/84/NCT02998684/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02998684"
5,"NCT02195401","The Effects of a Clean Room Sleeping Environment on Elemental and Chemical Concentrations in Children With Autism",,"Completed","No Results Available","Autism","Other: Cleanroom","Change in blood and hair elemental concentrations|Change of xenobiotic chemical concentrations","The Children's Institute|Duquesne University|Health Resources and Services Administration (HRSA)","All","3 Years to 21 Years   (Child, Adult)",,"10","Other|U.S. Fed","Observational","Observational Model: Cohort|Time Perspective: Prospective","09-131","May 2010","October 2010","October 2010","July 21, 2014",,"July 21, 2014","The Children's Institute, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02195401"
6,"NCT03982290","Psychophysiological Effects of Lactobacillus Plantarum PS128 in Preschool Children With Autism Spectrum Disorder",,"Unknown status","No Results Available","Autism","Other: Probiotic, Lactobacillus plantarum PS128|Other: Placebo, microcrystalline cellulose","Changes from baseline of anxiety subscale in Children's Behavior Checklist (CBCL)/Achenbach System of Empirically Based Assessment (ASEBA) at week 8 and week 16|Changes from hyperactivity subscale of Attention-Deficit/Hyperactivity Disorder Test (ADHDT) at week 8 and week 16|Gastrointestinal symptoms recorded by using GI Severity Index (6-GSI) at week 8 and week 16|Change of total scores at week 8 and week 16 from baseline of Changes of Childhood Asperger Syndrome Test (CAST)|Change of total scores at week 8 and week 16 from baseline of Penn Interactive Peer Play Scale, (PIPPS)|Change of total scores at week 8 and week 16 from baseline of Social Interaction Assessment Scale|Comparison of Microbiota composition between week 8 and baseline","Mackay Memorial Hospital","All","30 Months to 7 Years   (Child)","Not Applicable","250","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","17MMHIS193e","October 1, 2018","December 2019","December 2020","June 11, 2019",,"June 11, 2019","Department of Pediatric Neurology, MacKay Children's Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT03982290"
7,"NCT01724047","Autism Intervention Research Network for Behavioral Health (AIR-B II): Deployment Into Elementary Schools","AIR-B II","Completed","No Results Available","Autism","Behavioral: Playground Intervention|Behavioral: STAT Intervention","Playground Intervention: Playground Peer Engagement|Playground Intervention: Social Network Salience|STAT Intervention: Teacher Behaviors and Student's Engagement in the Classrooms|Playground Intervention: Teachers Ratings of Intervention Implementation|Playground Intervention: Teacher's Perceptions of Intervention|STAT Intervention: Teacher Nominated Target Behaviors|Playground Intervention Teacher's Perceptions of Intervention|Playground Intervention: Coach Ratings of Aide Implementation|Playground Intervention: Observer Ratings of Aide Implementation|Playground Intervention: Observer Ratings of Aides Implementation|STAT Intervention: Coach Rated Teacher Implementation|STAT Intervention: Teacher Ratings of Implementation|Playground Intervention: Aides Ratings of Effectiveness of Intervention|STAT Intervention: Teachers Ratings of Effectiveness of Intervention","Health Resources and Services Administration (HRSA)|University of Rochester|University of Pennsylvania","All","4 Years and older   (Child, Adult, Older Adult)","Not Applicable","250","U.S. Fed|Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","12-001120","November 2012","June 2014","June 2014","November 9, 2012",,"September 25, 2014","UCLA Semel Institute, Los Angeles, California, United States|University of Rochester Medical Center, Rochester, New York, United States|UPENN Map Center for Mental Health Policy and Services Research, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01724047"
8,"NCT01098383","Treatment With Acetyl-Choline Esterase Inhibitors in Children With Autism Spectrum Disorders",,"Unknown status","No Results Available","Autism","Drug: Acetyl-Choline Esterase Inhibitors and Choline supplements|Drug: Indistinguishable placebo tablets, matching both donepezil and choline","Core autistic symptoms (ATEC)|Side effects and adverse events questionnaire|Linguistic performance (CELF-4)|Adaptive functioning (Vineland-II)|Comorbid behaviors (CSI-4 questionnaire)|Executive functions (BRIEF questionnaire)","Sheba Medical Center|The Israeli Society of Clinical Pediatrics (HIPAK)","All","10 Years to 18 Years   (Child, Adult)","Phase 4","84","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SHEBA-09-7151-LG-CTIL","March 2010","December 2017","December 2017","April 2, 2010",,"October 14, 2016","Sheba Medical Center, Tel Hashomer, Ramat Gan, Israel",,"https://ClinicalTrials.gov/show/NCT01098383"
9,"NCT01836562","A Clinical Trial to Study the Safety and Efficacy of Bone Marrow Derived Autologous Cells for the Treatment of Autism","BMCA","Unknown status","No Results Available","Autism","Biological: STEM CELL THERAPY","Improvement in childhood autism rating scale|Improvement in perfusion of brain with PET scan report","Chaitanya Hospital, Pune","All","3 Years to 70 Years   (Child, Adult, Older Adult)","Phase 1|Phase 2","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","00105","September 2014","June 2016","June 2016","April 22, 2013",,"September 17, 2014","Chaitanya Hospital, Pune, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT01836562"
10,"NCT03723876","Basic Body Awareness Therapy for Persons With Autism",,"Enrolling by invitation","No Results Available","Autism","Behavioral: Body awareness therapy","Change of experienced health problem from Numeric rating scale|Change of results of Body Awareness Scale Movement Quality and Experiences, BAS MQ-E","Lund University|Vastra Gotaland Region","All","15 Years to 30 Years   (Child, Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Ingrid Bertilsson","May 1, 2018","May 2022","May 2022","October 30, 2018",,"February 8, 2021","Vuxenhabiliteringen, Vaxjo, Kronoberg, Sweden|Habiliteringen Vastra Gotalandsregionen, Skovde, Vastra Gotaland, Sweden",,"https://ClinicalTrials.gov/show/NCT03723876"
